close_date,order_number,driver_company,drop_status,otd,type_strike
2023-01-28,254698380_32155926468435,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-01-13,124966850_111492858964068,RK TRANSPORTES,CANCELLED,false,Cancelación
2023-01-06,283644916_48473229353096,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-15,61695580_223844738350630,NOLI,CANCELLED,true,Cancelación
2023-03-25,313029329_9218157936408,SPEEDTRANSP,CANCELLED,true,Cancelación
2023-01-07,243932673_108919991334991,Neowise Logística LTDA,CANCELLED,false,Cancelación
2023-03-02,35411522_46545655962105,TRANSOASIS,CANCELLED,true,Cancelación
2023-01-20,105967713_9767987572109,NOLI,CANCELLED,true,Cancelación
2023-01-04,97494186_3842671071698,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-20,139112174_37614350053814,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-23,277141731_24217054209960,NOLI,CANCELLED,true,Cancelación
2023-03-17,52471314_18321062587544,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-03-16,261971267_29779642579915,TRANSOASIS,CANCELLED,false,Cancelación
2023-03-25,149661711_14032915184419,INDEPENDIENTES,COMPLETED,true,Cancelación
2022-12-21,20472857_80078186449493,INDEPENDIENTES,COMPLETED,false,Faltantes
2023-03-24,24172515_37893808120970,GUILHERME TRANSPORTES,CANCELLED,true,Cancelación
2023-03-25,186885701_45414322733866,TRANSOASIS,CANCELLED,true,Cancelación
2023-03-22,22007853_206846105377217,GUILHERME TRANSPORTES,CANCELLED,false,Cancelación
2023-01-31,22014288_347793240226234,NaN,CANCELLED,false,Cancelación
2023-03-01,23438840_219720271532566,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-25,286598866_8076966759845,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-01-05,86711564_14449160961191,AGILOG TRANSPORTES,CANCELLED,true,Cancelación
2022-12-23,264338953_102728327437867,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-03-17,56378675_39784143385287,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-25,263960408_144527354264729,INDEPENDIENTES,COMPLETED,true,Cancelación
2022-12-21,108910946_57654179245409,Neowise Logística LTDA,CANCELLED,false,Cancelación
2023-01-17,95273977_204891324145657,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-01-16,33380078_313693882792265,MONTERREY,COMPLETED,true,Faltantes
2023-03-08,211332893_48698187567075,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-09,24751177_4249271377002,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-03,85852303_7292880621221,NOLI,COMPLETED,true,Faltantes
2023-01-04,98673485_5700270948910,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-02-14,159394961_382938047783813,INDEPENDIENTES,COMPLETED,true,Faltantes
2023-01-18,48272286_54918639911294,INDEPENDIENTES,COMPLETED,true,Faltantes
